[dieu, 16]
[jeune, 16]
[лицами, 16]
[навстречу, 16]
[нехорошо, 16]
[продолжала, 16]
[одним, 16]
[другом, 16]
[остановилась, 16]
[слышались, 16]
[всему, 16]
[часть, 16]
[торопливо, 16]
[мало, 16]
[богу, 16]
[шагов, 16]
[одну, 16]
[отцу, 16]
[движения, 16]
[идет, 16]
[ядро, 16]
[сыну, 16]
[остановились, 16]
[чего-то, 16]
[кверху, 16]
[смеясь, 16]
[перебил, 16]
[левой, 16]
[обеда, 16]
[j'ai, 16]
[нашей, 15]
[последние, 15]
[смотреть, 15]
[серьезно, 15]
[fait, 15]
[рядом, 15]
[вслед, 15]
[узнал, 15]
[поскакал, 15]
[сделали, 15]
[сказали, 15]
[велено, 15]
[тумане, 15]
[поднял, 15]
[тобой, 15]
[ami, 15]
[поход, 15]
[упал, 15]
[шагами, 15]
[спрашивал, 15]
[сама, 15]
[фланга, 15]
[сквозь, 15]
[одном, 15]
[австрийский, 15]
[хуже, 15]
[поцеловал, 15]
[движением, 15]
[мои, 15]
[раненых, 15]
[пожал, 15]
[тело, 15]
[билибина, 15]
[видал, 15]
[страха, 15]
[обе, 15]
[-й, 15]
[взяв, 15]
[-го, 15]
[мнение, 15]
[выше, 15]
[qu'il, 15]
[самое, 14]
[смотрела, 14]
[самом, 14]
[матери, 14]
[стараясь, 14]
[стыдно, 14]
[четыре, 14]
[роты, 14]
[понимал, 14]
[москве, 14]
[видела, 14]
[брата, 14]
[духе, 14]
[можете, 14]
[большие, 14]
[высоко, 14]
[faire, 14]
[вместо, 14]
[слушал, 14]
[дама, 14]
[кто-то, 14]
[утром, 14]
[жене, 14]
[обо, 14]
[известие, 14]
[die, 14]
[слава, 14]
[страшно, 14]
[орудий, 14]
[телянин, 14]
[план, 14]
[началось, 14]
[голубчик, 14]
[конце, 14]
[вставая, 14]
[пять, 14]
[туда, 14]
[час, 14]
[обыкновенно, 14]
[лицу, 14]
[ответил, 14]
[верхом, 14]
[дал, 14]
[французские, 14]
[шагом, 14]
[faut, 14]
[столько, 14]
[императору, 14]
[свиты, 14]
[кабинета, 14]
[заговорил, 14]
[рассказал, 14]
[последнее, 14]
[делалось, 14]
[невозможно, 14]
[y, 14]
[вейротера, 14]
[старого, 14]
[борису, 14]
[такого, 14]
[громко, 14]
[кровь, 14]
[поди, 14]
[могло, 14]
[никак, 14]
[удовольствием, 14]
[ногами, 14]
[княжне, 14]
[неожиданно, 14]
[то-то, 14]
[отцом, 14]
[notre, 14]
[оттого, 14]
[немного, 14]
[платок, 13]
[самой, 13]
[suis, 13]
[хочешь, 13]
[анне, 13]
[немец, 13]
[большим, 13]
[решительно, 13]
[николая, 13]
[лицах, 13]
[история, 13]
[штаб-ротмистр, 13]
[какой-то, 13]
[анну, 13]
[тысяч, 13]
[никому, 13]
[прекрасно, 13]
[столом, 13]
[случае, 13]
[чуть, 13]
[огромный, 13]
[великого, 13]
[неужели, 13]
[велел, 13]
[желание, 13]
[испытывал, 13]
[сделаю, 13]
[жюли, 13]
[долохова, 13]
[скажет, 13]
[княжну, 13]
[взглянула, 13]
[бога, 13]
[дети, 13]
[фигура, 13]
[бутылку, 13]
[виде, 13]
[самому, 13]
[иначе, 13]
[cela, 13]
[одному, 13]
[показать, 13]
[отдал, 13]
[неловко, 13]
[изредка, 13]
[разговора, 13]
[нашего, 13]
[ваша, 13]
[виноват, 13]
[шаг, 13]
[стала, 13]
[прошу, 13]
[одни, 13]
[princesse, 13]
[говорите, 13]
[менее, 13]
[начальника, 13]
[кресло, 13]
[рука, 13]
[михайловны, 13]
[держал, 13]
[другому, 13]
[вошла, 13]
[жестом, 13]
[кому, 13]
[лиц, 13]
[вейротер, 13]
[sont, 13]
[окна, 13]
[guerre, 13]
[фланг, 13]
[показался, 13]
[довольно, 13]
[вспомнил, 13]
[тумана, 13]
[министра, 13]
[графини, 13]
[прошли, 13]
[ласково, 13]
[par, 13]
[женщин, 13]
[фронте, 13]
[chez, 12]
[посмотрите, 12]
[каждом, 12]
[благодарю, 12]
[чувством, 12]
[деревню, 12]
[дороги, 12]
[просто, 12]
[толстый, 12]
[атаковать, 12]
[ранен, 12]
[адъютанты, 12]
[радости, 12]
[новые, 12]
[батареи, 12]
[старшая, 12]
[послал, 12]
[annette, 12]
[лоб, 12]
[года, 12]
[человеку, 12]
[любви, 12]
[французский, 12]
[пари, 12]
[петя, 12]
[стояла, 12]
[пехоты, 12]
[снова, 12]
[jamais, 12]
[будем, 12]
[хорош, 12]
[значительно, 12]
[мужа, 12]
[смеха, 12]
[испуганно, 12]
[мака, 12]
[пушки, 12]
[большого, 12]
[душа, 12]
[оглядывая, 12]
[ходил, 12]
[приятно, 12]
[никакого, 12]
[общество, 12]
[людям, 12]
[императоров, 12]
[души, 12]
[ею, 12]
[думать, 12]
[затем, 12]
[словами, 12]
[мир, 12]
[рысью, 12]
[ради, 12]
[душе, 12]
[мою, 12]
[дорогой, 12]
[думаете, 12]
[поднимая, 12]
[военный, 12]
[молчал, 12]
[среди, 12]
[жена, 12]
[благородие, 12]
[весьма, 12]
[по-русски, 12]
[образом, 12]
[ног, 12]
[должны, 12]
[ночи, 12]
[представить, 12]
[поля, 12]
[отошел, 12]
[ca, 12]
[вене, 12]
[адъютантов, 12]
[стороне, 12]
[вашего, 12]
[разных, 12]
[помню, 11]
[случилось, 11]
[удовольствие, 11]
[убит, 11]
[остановиться, 11]
[вполне, 11]
[und, 11]
[нарочно, 11]
[чему, 11]
[почтительно, 11]
[умереть, 11]
[будь, 11]
[мыслей, 11]
[массы, 11]
[dit, 11]
[василью, 11]
[русский, 11]
[шаги, 11]
[поздно, 11]
[кресле, 11]
[атака, 11]
[ii, 11]
[очки, 11]
[счастлив, 11]
[речи, 11]
[самые, 11]
[другу, 11]
[сердца, 11]
[министр, 11]
[михайловной, 11]
[жены, 11]
[обедать, 11]
[побежал, 11]
[чем-то, 11]
[презрительно, 11]
[показалось, 11]
[маленький, 11]
[пошла, 11]
[михайловну, 11]
[слез, 11]
[n'est, 11]
[браунау, 11]
[пойду, 11]
[честь, 11]
[получил, 11]
[вздохнул, 11]
[нами, 11]
[впрочем, 11]
[etes, 11]
[показывая, 11]
[молодому, 11]
[французами, 11]
[сильнее, 11]
[будут, 11]
[эскадрона, 11]
[левого, 11]
[тушину, 11]
[стрелять, 11]
[жеркова, 11]
[войны, 11]
[сделала, 11]
[телянина, 11]
[обмануть, 11]
[желания, 11]
[высокий, 11]
[смерть, 11]
[двигались, 11]
[части, 11]
[могут, 11]
[будете, 11]
[детей, 11]
[доктора, 11]
[полковому, 11]
[диван, 11]
[начальство, 11]
[вновь, 11]
[выстрел, 11]
[думает, 11]
[отступать, 11]
[bon, 11]
[кругом, 11]
[горе, 11]
[узнать, 11]
[хотели, 11]
[писал, 11]
[другими, 11]
[огонь, 11]
[казался, 11]
[третий, 11]
[судьба, 11]
[урра, 11]
[чорт, 11]
[боялся, 11]
[александра, 11]
[bonne, 11]
[крик, 11]
[продолжая, 11]
[взглянув, 11]
[принял, 11]
[значит, 11]
[колес, 11]
[пехота, 11]
[силах, 11]
[груди, 11]
[занят, 11]
[наполеона, 11]
[моей, 11]
[вашей, 11]
[sur, 11]
[ces, 11]
[lise, 11]
[плохо, 11]
[приказания, 11]
[забыл, 11]
[такою, 10]
[волос, 10]
[бежали, 10]
[услыхал, 10]
[какие, 10]
[повозки, 10]
[сначала, 10]
[полки, 10]
[меньше, 10]
[офицером, 10]
[заняты, 10]
[ура, 10]
[графом, 10]
[гораздо, 10]
[грустно, 10]
[мужчина, 10]
[sa, 10]
[ума, 10]
[тою, 10]
[болконскому, 10]
[поднялся, 10]
[юнкер, 10]
[сих, 10]
[рядам, 10]
[marieie, 10]
[опустил, 10]
[счастливо, 10]
[павловне, 10]
[voir, 10]
[дорога, 10]
[голове, 10]
[победе, 10]
[молодых, 10]
[губы, 10]
[рассказывать, 10]
[живо, 10]
[положения, 10]
[делает, 10]
[неприятелем, 10]
[lui, 10]
[кавалерии, 10]
[больного, 10]
[держала, 10]
[пускай, 10]
[войне, 10]
[вижу, 10]
[найти, 10]
[завещание, 10]
[знамя, 10]
[неподвижно, 10]
[дежурный, 10]
[стоявший, 10]
[просила, 10]
[оставил, 10]
[княгине, 10]
[знают, 10]
[веселее, 10]
[спросить, 10]
[тон, 10]
[глядел, 10]
[дай, 10]
[хороша, 10]
[носом, 10]
[сказано, 10]
[оглядывался, 10]
[учтиво, 10]
[мундире, 10]
[можем, 10]
[границей, 10]
[победа, 10]
[генералы, 10]
[красивый, 10]
[платья, 10]
[всякий, 10]
[огни, 10]
[всею, 10]
[первую, 10]
[молчания, 10]
[выразить, 10]
[дурно, 10]
[верст, 10]
[вообще, 10]
[закрыл, 10]
[принять, 10]
[передней, 10]
[извольте, 10]
[молодые, 10]
[бонапарта, 10]
[avec, 10]
[любит, 10]
[княгиню, 10]
[капитана, 10]
[плечи, 10]
[виднелись, 10]
[офицеру, 10]
[атаки, 10]
[француз, 10]
[небо, 10]
[вина, 10]
[такая, 10]
[большую, 10]
[дипломат, 10]
[умел, 10]
[солнце, 10]
[числе, 10]
[внимание, 10]
[чувствовала, 10]
[передать, 10]
[amie, 10]
[черта, 10]
[войсками, 10]
[казак, 10]
[мари, 10]
[рук, 10]
[война, 10]
[показалась, 10]
[везде, 10]
[армией, 10]
[гвардия, 10]
[счастие, 10]
[дом, 10]
[курагина, 10]
[другую, 10]
[делали, 10]
[воображении, 10]
[австрийскому, 10]
[останавливаясь, 10]
[отыскивать, 10]
[шла, 10]
[показались, 10]
[состоянии, 10]
[боится, 9]
[возьми, 9]
[общества, 9]
[орудие, 9]
[petit, 9]
[чаще, 9]
[femme, 9]
[сестры, 9]
[этою, 9]
[вечером, 9]
[молодости, 9]
[делают, 9]
[писать, 9]
[wir, 9]
[сознание, 9]
[выстрела, 9]
[плакала, 9]
[рассказать, 9]
[делами, 9]
[разумеется, 9]
[свитский, 9]
